hodnota,obdobi,rok,tyden,ukazatel_txt,polozka_txt
28.62,2016-W21,2016,21,Pr?m?rná cena pohonných hmot,Benzin automobilový Natural 95 oktanu [1 l]
11.84,2016-W21,2016,21,Pr?m?rná cena pohonných hmot,Plyn LPG [1 l]
27.66,2016-W22,2016,22,Pr?m?rná cena pohonných hmot,Motorová nafta [1 l]
29.15,2016-W22,2016,22,Pr?m?rná cena pohonných hmot,Benzin automobilový Natural 95 oktanu [1 l]
11.78,2016-W22,2016,22,Pr?m?rná cena pohonných hmot,Plyn LPG [1 l]
28.02,2016-W23,2016,23,Pr?m?rná cena pohonných hmot,Motorová nafta [1 l]
29.55,2016-W23,2016,23,Pr?m?rná cena pohonných hmot,Benzin automobilový Natural 95 oktanu [1 l]
11.81,2016-W23,2016,23,Pr?m?rná cena pohonných hmot,Plyn LPG [1 l]
28.21,2016-W24,2016,24,Pr?m?rná cena pohonných hmot,Motorová nafta [1 l]
29.68,2016-W24,2016,24,Pr?m?rná cena pohonných hmot,Benzin automobilový Natural 95 oktanu [1 l]
11.78,2016-W24,2016,24,Pr?m?rná cena pohonných hmot,Plyn LPG [1 l]
28.27,2016-W25,2016,25,Pr?m?rná cena pohonných hmot,Motorová nafta [1 l]
29.71,2016-W25,2016,25,Pr?m?rná cena pohonných hmot,Benzin automobilový Natural 95 oktanu [1 l]
11.78,2016-W25,2016,25,Pr?m?rná cena pohonných hmot,Plyn LPG [1 l]
28.32,2016-W26,2016,26,Pr?m?rná cena pohonných hmot,Motorová nafta [1 l]
29.72,2016-W26,2016,26,Pr?m?rná cena pohonných hmot,Benzin automobilový Natural 95 oktanu [1 l]
11.78,2016-W26,2016,26,Pr?m?rná cena pohonných hmot,Plyn LPG [1 l]
28.32,2016-W28,2016,28,Pr?m?rná cena pohonných hmot,Motorová nafta [1 l]
29.6,2016-W28,2016,28,Pr?m?rná cena pohonných hmot,Benzin automobilový Natural 95 oktanu [1 l]
11.95,2016-W28,2016,28,Pr?m?rná cena pohonných hmot,Plyn LPG [1 l]
28.12,2016-W29,2016,29,Pr?m?rná cena pohonných hmot,Motorová nafta [1 l]
29.4,2016-W29,2016,29,Pr?m?rná cena pohonných hmot,Benzin automobilový Natural 95 oktanu [1 l]
11.99,2016-W29,2016,29,Pr?m?rná cena pohonných hmot,Plyn LPG [1 l]
28.06,2016-W30,2016,30,Pr?m?rná cena pohonných hmot,Motorová nafta [1 l]
29.33,2016-W30,2016,30,Pr?m?rná cena pohonných hmot,Benzin automobilový Natural 95 oktanu [1 l]
11.99,2016-W30,2016,30,Pr?m?rná cena pohonných hmot,Plyn LPG [1 l]
27.96,2016-W31,2016,31,Pr?m?rná cena pohonných hmot,Motorová nafta [1 l]
29.21,2016-W31,2016,31,Pr?m?rná cena pohonných hmot,Benzin automobilový Natural 95 oktanu [1 l]
11.95,2016-W31,2016,31,Pr?m?rná cena pohonných hmot,Plyn LPG [1 l]
27.53,2016-W32,2016,32,Pr?m?rná cena pohonných hmot,Motorová nafta [1 l]
28.91,2016-W32,2016,32,Pr?m?rná cena pohonných hmot,Benzin automobilový Natural 95 oktanu [1 l]
11.96,2016-W32,2016,32,Pr?m?rná cena pohonných hmot,Plyn LPG [1 l]
27.39,2016-W33,2016,33,Pr?m?rná cena pohonných hmot,Motorová nafta [1 l]
28.73,2016-W33,2016,33,Pr?m?rná cena pohonných hmot,Benzin automobilový Natural 95 oktanu [1 l]
11.95,2016-W33,2016,33,Pr?m?rná cena pohonných hmot,Plyn LPG [1 l]
27.63,2016-W34,2016,34,Pr?m?rná cena pohonných hmot,Motorová nafta [1 l]
28.9,2016-W34,2016,34,Pr?m?rná cena pohonných hmot,Benzin automobilový Natural 95 oktanu [1 l]
11.97,2016-W34,2016,34,Pr?m?rná cena pohonných hmot,Plyn LPG [1 l]
27.71,2016-W35,2016,35,Pr?m?rná cena pohonných hmot,Motorová nafta [1 l]
28.97,2016-W35,2016,35,Pr?m?rná cena pohonných hmot,Benzin automobilový Natural 95 oktanu [1 l]
11.97,2016-W35,2016,35,Pr?m?rná cena pohonných hmot,Plyn LPG [1 l]
27.76,2016-W36,2016,36,Pr?m?rná cena pohonných hmot,Motorová nafta [1 l]
29.06,2016-W36,2016,36,Pr?m?rná cena pohonných hmot,Benzin automobilový Natural 95 oktanu [1 l]
12.05,2016-W36,2016,36,Pr?m?rná cena pohonných hmot,Plyn LPG [1 l]
27.75,2016-W37,2016,37,Pr?m?rná cena pohonných hmot,Motorová nafta [1 l]
